nature,group
ABANDONED VEHICLE,Traffic-Related Call
ABANDONMENT,Domestic/Family Call
ABDOMINAL,Medical/Fire Assist
ABDUCTION OR KIDNAPPING,Domestic/Family Call
ABUSE,Domestic/Family Call
ALARM,Alarm Activity
ALCOHOL VIOLATION,Quality of Life
ANIMAL PROBLEM,Quality of Life
ARMED ROBBERY,In-Progress Violent
ASSAULT,All Other Violent
ASSAULT EMS,Medical/Fire Assist
ASSIST EMS,Medical/Fire Assist
ASSIST FIRE,Medical/Fire Assist
ASSIST OTHER AGENCY,General Assistance
ASSIST PERSON,General Assistance
ATTEMPT TO LOCATE,General Assistance
ATTEMPTED SUICIDE,Mental Health
BANK ALARM,Alarm Activity
BANK ALARM ATM,Alarm Activity
BANK ROBBERY,In-Progress Violent
BARKING DOG,Quality of Life
BOMB THREAT,In-Progress Violent
BREAK IN,All Other Property
BREAK IN IN PROGRESS,In-Progress Property
BREAK IN VEHICLE,All Other Property
BREAK IN VEHICLE IN PROGRESS,In-Progress Property
CARDIAC OR RESP ARREST,Medical/Fire Assist
CARELESS AND RECKLESS,Traffic-Related Call
CARJACKING,In-Progress Violent
CHASE,In-Progress Other
COMMON LAW ROBBERY,All Other Violent
CRASH NOTIFICATION,Traffic-Related Call
CRIME SCENE INVESTIGATION,Police Administrative
CRISIS,Mental Health
DAMAGE TO PROPERTY,All Other Property
DECEASED PERSON PD,Deceased Person
DIRECT TRAFFIC,Traffic-Related Call
DIRECTED PATROL,Directed Patrol
DISTURBANCE,Disturbance Call
DISTURBANCE WITH WEAPON,Disturbance Call
DOMESTIC VIOLENCE,Domestic/Family Call
DOMESTIC WITH A WEAPON,Domestic/Family Call
DROWNING,Medical/Fire Assist
DRUGS,Quality of Life
ESCORT,Traffic-Related Call
EXPLOSION,Medical/Fire Assist
EXTRACATION,Medical/Fire Assist
FALL,Medical/Fire Assist
FEMS FIELD UNIT EMERGENCY,Medical/Fire Assist
FIGHT,Disturbance Call
FLAG DOWN,General Assistance
FOLLOW UP,Police Administrative
FOOT  PATROL,Directed Patrol
FOOT PURSUIT,In-Progress Other
FOUND PERSON,Domestic/Family Call
FRAUD,All Other Property
GAMBLING,Quality of Life
GUNSHOT WOUND,In-Progress Violent
GUNSHOT WOUND AT HOSPITAL,All Other Violent
GUNSHOT WOUND NO EMS,All Other Violent
