description-word,descripting,word-no,valence-mean,valence-SD,arousal-mean,arousal-SD,dominance-mean,dominance-SD,word-freq
abduction,abduct,621,2.76,2.06,5.53,2.43,3.49,2.38,1
abortion,abort,622,3.5,2.3,5.39,2.8,4.59,2.54,6
absurd,absurd,623,4.26,1.82,4.36,2.2,4.73,1.72,17
abundance,abund,624,6.59,2.01,5.51,2.63,5.8,2.16,13
abuse,abus,1,1.8,1.23,6.83,2.7,3.69,2.94,18
acceptance,accept,625,7.98,1.42,5.4,2.7,6.64,1.91,49
accident,accid,2,2.05,1.19,6.26,2.87,3.76,2.22,33
ace,ace,626,6.88,1.93,5.5,2.66,6.39,2.31,15
ache,ach,627,2.46,1.52,5,2.45,3.54,1.73,4
achievement,achiev,3,7.89,1.38,5.53,2.81,6.56,2.35,65
activate,activ,4,5.46,0.98,4.86,2.56,5.43,1.84,2
addict,addict,581,2.48,2.08,5.66,2.26,3.72,2.54,1
addicted,addict,628,2.51,1.42,4.81,2.46,3.46,2.23,3
admired,admir,5,7.74,1.84,6.11,2.36,7.53,1.94,17
adorable,ador,6,7.81,1.24,5.12,2.71,5.74,2.48,3
adult,adult,546,6.49,1.5,4.76,1.95,5.75,2.21,25
advantage,advantag,629,6.95,1.85,4.76,2.18,6.36,2.23,73
adventure,adventur,630,7.6,1.5,6.98,2.15,6.46,1.67,14
affection,affect,7,8.39,0.86,6.21,2.75,6.08,2.22,18
afraid,afraid,8,2,1.28,6.67,2.54,3.98,2.63,57
aggressive,aggress,9,5.1,1.68,5.83,2.33,5.59,2.4,17
agility,agil,22,6.46,1.57,4.85,1.8,5.87,1.52,3
agony,agoni,10,2.43,2.17,6.06,2.67,4.02,2.49,9
agreement,agreement,631,7.08,1.59,5.02,2.24,6.22,1.85,106
air,air,632,6.34,1.56,4.12,2.3,5.1,1.56,257
alcoholic,alcohol,582,2.84,2.34,5.69,2.36,4.45,2.56,3
alert,alert,11,6.2,1.76,6.85,2.53,5.96,2.24,33
alien,alien,633,5.6,1.82,5.45,2.15,4.64,2.07,16
alimony,alimoni,634,3.95,2,4.3,2.29,4.63,2.3,2
alive,aliv,635,7.25,2.22,5.5,2.74,6.39,2.15,57
allergy,allergi,636,3.07,1.64,4.64,2.34,3.21,1.77,1
alley,alley,637,4.48,1.97,4.91,2.42,4,1.7,8
alone,alon,12,2.41,1.77,4.83,2.66,3.7,2.42,195
aloof,aloof,13,4.9,1.92,4.28,2.1,4.69,1.92,5
ambition,ambit,14,7.04,1.98,5.61,2.92,6.93,2.07,19
ambulance,ambul,15,2.47,1.5,7.33,1.96,3.22,2.29,6
angel,angel,16,7.53,1.58,4.83,2.63,4.97,2.34,18
